2648,174,3154
1227,189,1967
1154,431,1685
1212,191,1983
1128,191,1724
1261,196,1410
1391,320,2016
1753,194,3369
2682,199,3298
1759,226,2889
74,75,1109
1213,170,2115
1785,208,2590
1347,186,2848
541,123,835
64,65,538
351,247,536
2865,264,2867
2186,173,3111
1874,424,2876
2341,289,3299
1290,185,2195
1949,318,2822
1893,1007,3239
2030,220,2157
1410,196,2073
90,91,1286
2150,425,2175
1672,601,2800
2297,254,3116
2463,282,3206
537,31,847
1641,169,2548
1335,198,1415
857,248,870
1822,296,2866
155,156,533
158,159,543
1642,289,2371
1724,191,1999
2499,272,3446
2948,210,3227
1714,177,1977
1831,298,2640
545,112,829
1178,187,1836
860,203,2112
1170,640,1781
2148,232,2194
352,245,1325
819,340,1332
1709,197,2651
816,235,2109
1259,195,2146
1333,195,2099
1703,445,2427
1232,219,2229
1556,291,2546
147,148,1312
775,234,1165
1305,242,2052
1172,231,1741
1717,243,2012
1097,201,1800
844,338,1330
1964,225,2107
1841,237,2944
801,519,1418
780,233,1270
1090,260,2333
800,200,1319
1651,671,2565
891,521,1415
2006,219,2144
1137,202,1902
1313,321,1421
2112,203,2952
1913,385,2646
355,251,1458
2405,183,3269
1672,226,2808
1767,289,2341
2473,227,3041
2686,254,3118
2496,556,2687
1798,282,2853
2604,253,3145
1562,261,3124
2643,1517,2990
2649,689,3257
1682,216,1956
2435,167,3107
3175,252,3295
1565,206,3025
2652,182,3074
1587,217,2452
2451,406,2683
2745,258,3061
2989,583,3200
2321,262,2980
1610,371,3221
1568,206,2697
1623,579,2692
2963,207,3443
1420,504,1844
2263,162,3001
1553,265,2480
2260,552,3095
1068,266,1699
1572,212,2375
1679,562,3106
1129,643,2452
81,82,773
811,56,1745
1643,224,2816
2375,212,3089
1183,228,1869
1098,268,2388
2383,261,3238
2513,215,2838
1115,188,1892
1658,218,1858
1921,208,3232
791,186,1360
845,246,1452
1716,178,1878
2583,222,2841
1978,229,2154
788,223,1805
2142,211,2859
2042,1067,2949
1952,736,2157
2660,999,2661
1748,279,2596
1670,1024,2070
1163,213,2035
767,133,1169
2837,1064,3322
1279,332,1987
3023,257,3393
2688,255,3275
2096,239,2946
2444,273,3281
2488,257,3246
1863,283,2757
1697,609,2605
1446,230,2171
1145,292,2523
1646,380,2401
1673,210,1736
